year,month,day_of_week,time,item_name,temperature,rain,sunny,cloudy,snow
2012,7,4,10,ナメコ１パックナメコ１パック_0000000000131,24.9,0,0,0,0
2012,11,7,13,鮮魚海鮮すり身_2002521000000,15.7,0,0,0,0
2012,3,1,23,高知産ぶなしめじ_4908735385118,3.7,0,0,0,0
2012,8,7,10,雪国まいたけ雪国まいたけ１００ｇ１００ｇ_4979754555011,28.4,0,0,0,0
2012,6,2,10,雪国まいたけ雪国しめじ恵みＷＰ２００ｇ_4979754557176,26.8,0,0,0,0
2012,4,1,11,鮮魚あおやぎ貝_2003864000000,9,0,0,0,0
2013,3,6,12,ホクト産業ぶなしめじ（１７０ｇ）_4985761300001,8,0,0,0,0
2013,11,1,16,ホクト産業ぶなしめじ１００ｇ_4985761100014,10.2,0,0,0,0
2014,6,6,19,鮮魚切身よりどりセール_2002537000000,24.2,0,0,0,0
2013,5,6,16,雪国まいたけ雪国エリンギファミリーパック_4979754556209,16.1,0,0,0,0
2014,5,2,13,生しいたけ１パッ生しいたけ１パック_0000000000129,13,0,0,0,0
2012,7,4,10,ナメコ１パックナメコ１パック_0000000000131,24.9,0,0,0,0
2012,11,7,13,鮮魚海鮮すり身_2002521000000,15.7,0,0,0,0
2012,3,1,23,高知産ぶなしめじ_4908735385118,3.7,0,0,0,0
2012,8,7,10,雪国まいたけ雪国まいたけ１００ｇ１００ｇ_4979754555011,28.4,0,0,0,0
2012,6,2,10,雪国まいたけ雪国しめじ恵みＷＰ２００ｇ_4979754557176,26.8,0,0,0,0
2012,4,1,11,鮮魚あおやぎ貝_2003864000000,9,0,0,0,0
2013,3,6,12,ホクト産業ぶなしめじ（１７０ｇ）_4985761300001,8,0,0,0,0
2013,11,1,16,ホクト産業ぶなしめじ１００ｇ_4985761100014,10.2,0,0,0,0
2014,6,6,19,鮮魚切身よりどりセール_2002537000000,24.2,0,0,0,0
2013,5,6,16,雪国まいたけ雪国エリンギファミリーパック_4979754556209,16.1,0,0,0,0
2014,5,2,13,生しいたけ１パッ生しいたけ１パック_0000000000129,13,0,0,0,0
2014,5,6,16,＊大粒なめこ_4909052301508,24,0,0,0,0
2014,7,7,16,雪国まいたけ雪国まいたけ１５０ｇ１５０ｇ_4979754555035,33.8,0,0,0,0
2013,8,2,20,ＣＧＣハニーえのき２００ｇ_4908380384023,27.6,0,0,0,0
2013,8,7,10,雪国まいたけ雪国エリンギファミリーパック_4979754556209,34,0,0,0,0
2014,8,3,17,ＣＧＣハニーえのき２００ｇ_4908380384023,30.9,0,0,0,0
2014,8,6,16,雪国まいたけ雪国しめじ恵みＷＰ２００ｇ_4979754557176,22.2,0,0,0,0
2014,6,1,19,ＣＧＣハニーえのき２００ｇ_4908380384023,26.2,0,0,0,0
2015,4,6,10,ＣＧＣハニーえのき２００ｇ_4908380384023,22.6,0,0,0,0
2014,11,1,14,野菜生椎茸（原木）_2046005000000,19.7,0,0,0,0
2014,12,1,13,＊大粒なめこ_4909052301508,5.6,0,0,0,0
2014,12,1,15,鮮魚あさり２７０ｇ_4955901612561,3.4,0,0,0,0
2016,1,5,16,鮮魚かわはぎ鍋物用_2002561000000,4.5,0,0,0,0
2016,3,3,16,広島産生かき（加熱用）１５０ｇ_4952487333002,10.5,0,0,0,0
2016,5,1,15,生しいたけ１パッ生しいたけ１パック_0000000000129,26.4,0,0,0,0
2016,7,7,11,鮮魚しじみ_2003872000000,26.9,0,0,0,0
2016,7,5,12,高知産やっこ葱_4908735319304,30.8,0,0,0,0
2016,8,4,12,青ネギ１束青ねぎ１タバ_0000000000107,28.7,0,0,0,0
2017,1,7,13,青果えのき茸（２００ｇ）_4908626000038,2.7,0,0,0,0
2017,4,1,16,鮮魚あさり２７０ｇ_4955901612561,13.9,0,0,0,0
2017,4,3,15,ホクト産業ぶなしめじ（１７０ｇ）_4985761300001,19.8,0,0,0,0
2017,5,4,16,鮮魚あさり_2003861000000,20.1,0,0,0,0
2017,6,5,19,鮮魚真かじき切身_2002507000000,23.8,0,0,0,0
2017,8,4,17,ホクトカットぶなしめじ_4985761100113,31.3,0,0,0,0
2017,7,7,17,鮮魚しじみ_2003872000000,30.5,0,0,0,0
2017,10,1,20,ホクトカットぶなしめじ_4985761100113,16.1,0,0,0,0
2017,11,5,14,鮮魚あんこう鍋物用_2002565000000,11.2,0,0,0,0
2018,1,7,12,鮮魚あさり_4580243412236,1.6,0,0,0,0
2018,2,2,11,岡山中央岡山産水切りかき（加熱用）２００ｇ_4970709116028,1.8,0,0,0,0
2018,3,5,16,鮮魚あさり_4580243412236,9.6,0,0,0,0
2018,7,4,14,高知産やっこ葱_4908735319304,33.9,0,0,0,0
2019,12,3,15,白ねぎ１タバ白ねぎ１タバ_0000000000134,8.4,0,0,0,0
2019,6,1,16,白ねぎ１本白ねぎ１本_0000000000346,22.8,0,0,0,0
2019,2,5,12,ホクトカットぶなしめじ_4985761100113,7.9,0,0,0,0
2020,10,2,10,野菜ぶなしめじ_2046009000000,22.3,0,0,0,0
2020,9,4,12,白菜１／４カット白菜１／４カット_0000000000342,27.1,0,0,0,0
2020,9,4,13,生しいたけ１パッ生しいたけ１パック_0000000000129,25.1,0,0,0,0
2020,7,1,9,野菜細ねぎ_4908612120115,26.7,0,0,0,0
2020,5,6,14,白ねぎ１タバ白ねぎ１タバ_0000000000134,22,0,0,0,0
2020,1,4,17,鮮魚刺身わかめ_2003909000000,12,0,0,0,0
2020,1,5,11,野菜青ねぎ_2041042000000,2.4,0,0,0,0
2012,1,5,13,鮮魚あさり２７０ｇ_4955901612561,4.6,0,0,0,0
2012,3,1,16,鮮魚あさり_2003861000000,5.4,0,0,0,0
2012,2,3,12,鮮魚さごし（さわら）鍋物用_2002562000000,4.5,0,0,0,0
2012,6,4,16,ＣＧＣハニーえのき２００ｇ_4908380384023,26.9,0,0,0,0
2012,11,3,16,鮮魚するめいか（調理済）_2002530000000,18.2,0,0,0,0
2013,1,2,11,雪国まいたけ雪国まいたけ１００ｇ１００ｇ_4979754555011,3,0,0,0,0
2012,5,7,16,雪国まいたけ雪国まいたけ１００ｇ１００ｇ_4979754555011,14.5,0,0,0,0
2012,4,4,12,えのき茸えのき茸_0000000000130,20.7,0,0,0,0
2012,5,5,16,鮮魚あさり２７０ｇ_4955901612561,21.5,0,0,0,0
2012,11,5,17,鮮魚あさり２７０ｇ_4955901612561,12.5,0,0,0,0
2013,3,5,12,ホクトカットぶなしめじ_4985761100113,14,0,0,0,0
2013,4,1,10,雪国まいたけ雪国しめじ恵みＷＰ２００ｇ_4979754557176,19.2,0,0,0,0
2013,9,4,13,野菜えのき茸_4971645111382,27.5,0,0,0,0
2015,2,7,18,鮮魚刺身わかめ_2003909000000,3.8,0,0,0,0
2014,5,7,17,ＣＧＣハニーえのき２００ｇ_4908380384023,20.8,0,0,0,0
2013,12,7,20,ＣＧＣハニーえのき２００ｇ_4908380384023,5.4,0,0,0,0
